Start,End,Duration,TCP Connect,TLS Handshake,Wait,Receive,Status,Content Type,Request Size,Response Size,URL
2494,2972,478,27,278,71,13,204,application/json;charset=UTF-8,2183,914,https://p65-fmf.icloud.com/fmipservice/fmf/18251166005/00008101-001005DC3CD1003A/register
2495,2951,456,20,285,67,17,204,application/json;charset=UTF-8,2183,914,https://p65-fmf.icloud.com/fmipservice/fmf/18251166005/00008101-001005DC3CD1003A/register
2519,3148,629,213,83,40,14,200,application/ocsp-response,251,3311,https://ocsp2.apple.com/ocsp03-wwdrg301/MFYwVKADAgEAME0wSzBJMAkGBSsOAwIaBQAEFKUFR8CJR8PHiyda6K5e%2FQtBhTrgBBQJ%2FsAVkPmvZAqSErkmKGMMl%2BynsgIQZnTba%2BS5sdTfGds9%2Fi7GHg%3D%3D
11909,12278,369,40,231,52,14,200,application/octet-stream,1948,3391,https://ppq.apple.com/v1/authorization
267347,267778,431,125,160,68,32,400,application/json,700,281,https://default.stg.api.discomax.com/downloads-manager/any/downloads-manager/v1/user/downloads/active
267618,268345,727,22,134,462,35,201,application/json,1024,1207,https://sdk.iad-01.braze.com/api/v3/data
267656,268171,515,32,146,27,28,200,application/json,224,368,https://kpck4q-cdn-settings.appsflyersdk.com/ios/v1/66e7f5225aa156b6e729feb63c545035a90d6b2769f97b0895de2dfd5e218b56/settings
267656,268226,570,32,151,65,46,400,application/json,650,281,https://stg.api.discomax.com/session-context/headwaiter/v1/bootstrap
267814,268366,552,87,248,98,11,204,,1547,175,https://ca.iadsdk.apple.com/adserver/attribution/v2
267815,268516,701,22,286,255,18,200,application/json; charset=UTF-8,862,951,https://firebaseinstallations.googleapis.com/v1/projects/wbd-stream/installations/
267850,268339,489,38,263,52,31,200,application/json; charset=utf-8,1982,878,https://api2.branch.io/v1/install
267926,268627,701,0,0,673,27,200,application/json;charset=utf-8,714,6063,https://default.stg.api.discomax.com/token?realm=bolt
268259,268712,453,22,55,289,24,200,application/json; charset=utf-8,610,193,https://kpck4q-dlsdk.appsflyersdk.com/v1.0/ios/id1666653815?sdk_version=6.11&af_sig=16db0dff84eda361e5613112010d84b6bc6c71da28009ab8e539dabb517b05b5
268377,268805,428,0,0,413,13,201,application/json,1017,662,https://sdk.iad-01.braze.com/api/v3/data
268385,268633,248,0,0,216,31,201,application/json,742,1805,https://sdk.iad-01.braze.com/api/v3/content_cards/sync
268387,268537,150,0,0,138,10,201,application/json,660,679,https://sdk.iad-01.braze.com/api/v3/feature_flags/sync
268401,268748,347,120,48,16,15,200,application/json,201,796,https://cdn.branch.io/sdk/uriskiplist_v0.json
268679,268820,141,0,0,112,20,200,application/json,6553,575,https://default.stg.api.discomax.com/downloads-manager/any/downloads-manager/v1/user/downloads/active
268689,268814,125,0,0,97,18,200,application/json,6647,993,https://default.stg.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions
268914,268998,84,0,0,67,8,200,application/json,6503,468,https://stg.api.discomax.com/session-context/headwaiter/v1/bootstrap
268987,269447,460,0,0,453,6,200,application/json; charset=utf-8,345,209,https://kpck4q-skadsdk.appsflyersdk.com/api/v2.0/rules?uid=1697789264497-0309223&app_id=id1666653815&currency=USD&sdk_version=6.11.0&os_version=14.6
269156,269308,152,0,0,136,8,200,application/json;charset=utf-8,6463,728,https://default.stg.api.discomax.com/users/me?validateAccount=true
269165,269233,68,0,0,52,7,200,application/json,6463,381,https://default.stg.api.discomax.com/entitlements/userEntitlementsSummary/me
269282,269432,150,0,0,135,7,200,application/json;charset=utf-8,6463,427,https://default.stg.api.discomax.com/users/me/partners
269291,269365,74,0,0,59,6,200,application/json,6463,2586,https://default.stg.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions?projectId=eee34681-a45b-42da-a487-81544dfbe620
269456,269606,150,0,0,132,9,200,application/json;charset=utf-8,6527,406,https://default.stg.api.discomax.com/legal/region
269641,269830,189,0,0,180,8,200,text/plain,3237,205,https://kpck4q-conversions.appsflyersdk.com/api/v6.11/iosevent?app_id=1666653815&buildnumber=6.11.0
269652,270232,580,82,173,257,26,201,application/json; charset=utf-8,1513,1338,https://api.apptentive.com/conversations
269874,269962,88,0,0,73,6,200,application/json;charset=utf-8,6527,406,https://default.stg.api.discomax.com/legal/region
269888,270215,327,0,0,313,14,200,application/json;charset=utf-8,534,223,https://kpck4q-dynamic-config-api.appsflyersdk.com/api/dynamic-config/1
269897,270226,329,0,0,305,23,200,text/plain,2814,205,https://kpck4q-attr.appsflyersdk.com/api/v6.11/iosevent?app_id=1666653815&buildnumber=6.11.0
270172,270270,98,0,0,80,9,200,application/json;charset=utf-8,6567,1098,https://default.stg.api.discomax.com/legal/terms?filter%5Bkind.alias%5D=sell-share-data&filter%5Bkind.brandId%5D=beam&include=kind%2Cconsent&decorators=articleBodyRichText.richTextHtml
270249,270344,95,0,0,86,7,201,application/json,941,248,https://api.apptentive.com/conversations/653236a1ded99e7a7f7bf3fc/events
270358,270447,89,0,0,82,6,200,application/json; charset=utf-8,687,473,https://api.apptentive.com/conversations/653236a1ded99e7a7f7bf3fc/messages
270399,270680,281,0,0,273,7,404,application/json; charset=utf-8,349,184,https://kpck4q-skadsdkless.appsflyersdk.com/api/v2.0/conversion-value?uid=1697789264497-0309223&app_id=id1666653815&trigger=fg&session_counter=1&iaecounter=0&device_timestamp=1697789601614&prev_response_time=null&prev_update_time=null&prev_update_value=null&prev_response_code=null&session_length=null&os_version=14.6&sdk_version=6.11.0&bundle_id=com.discovery.mobile.enterprise.discoveryplus&device_model=iPhone13%2C2&gcv_transaction_id=2BAEECDA-12D5-4051-AED9-AFB8105C58E9
270424,270507,83,0,0,66,8,200,application/json,6463,538,https://default.stg.api.discomax.com/cms/configs/geoblock
270498,270731,233,0,0,225,7,200,application/json; charset=utf-8,687,2237,https://api.apptentive.com/conversations/653236a1ded99e7a7f7bf3fc/interactions
270501,270720,219,0,0,212,7,200,application/json; charset=utf-8,687,1017,https://api.apptentive.com/conversations/653236a1ded99e7a7f7bf3fc/configuration
270538,270707,169,0,0,152,8,200,application/json,6553,575,https://default.stg.api.discomax.com/downloads-manager/any/downloads-manager/v1/user/downloads/active
